#preprocessed data file for input to fadmodel9
#tag releases 
#ncohort
247
#min_size     max_size 
20    140
#ndx sze spc relfad nosrel
1  45  1  1  5  
2  46  1  1  4  
3  47  1  1  2  
4  48  1  1  3  
5  49  1  1  5  
6  50  1  1  1  
7  52  1  1  3  
8  53  1  1  7  
9  54  1  1  14  
10  55  1  1  8  
11  56  1  1  26  
12  57  1  1  22  
13  58  1  1  16  
14  59  1  1  8  
15  60  1  1  7  
16  61  1  1  3  
17  63  1  1  4  
18  64  1  1  2  
19  65  1  1  6  
20  66  1  1  2  
21  67  1  1  1  
22  68  1  1  3  
23  69  1  1  1  
24  70  1  1  2  
25  71  1  1  1  
26  73  1  1  2  
27  74  1  1  1  
28  75  1  1  3  
29  79  1  1  1  
30  80  1  1  1  
31  82  1  1  1  
32  83  1  1  1  
33  84  1  1  1  
34  88  1  1  2  
35  89  1  1  2  
36  90  1  1  3  
37  91  1  1  3  
38  92  1  1  3  
39  93  1  1  9  
40  94  1  1  4  
41  95  1  1  15  
42  96  1  1  8  
43  97  1  1  6  
44  98  1  1  4  
45  99  1  1  2  
46  100  1  1  4  
47  101  1  1  1  
48  102  1  1  1  
49  104  1  1  2  
50  105  1  1  1  
51  106  1  1  1  
52  107  1  1  2  
53  109  1  1  2  
54  110  1  1  5  
55  40  1  2  8  
56  41  1  2  8  
57  42  1  2  14  
58  43  1  2  9  
59  44  1  2  17  
60  45  1  2  10  
61  46  1  2  14  
62  47  1  2  3  
63  48  1  2  4  
64  49  1  2  4  
65  50  1  2  13  
66  51  1  2  8  
67  52  1  2  8  
68  53  1  2  5  
69  54  1  2  14  
70  55  1  2  11  
71  56  1  2  11  
72  57  1  2  8  
73  58  1  2  3  
74  59  1  2  9  
75  60  1  2  4  
76  61  1  2  4  
77  62  1  2  6  
78  63  1  2  4  
79  64  1  2  1  
80  65  1  2  2  
81  66  1  2  4  
82  67  1  2  7  
83  68  1  2  3  
84  69  1  2  5  
85  70  1  2  5  
