#min_size    max_size
20  140
#ncohort
267
#release data
1  42  1
2  44  3
3  45  5
4  46  4
5  47  2
6  48  3
7  49  5
8  50  1
9  52  3
10  53  7
11  54  14
12  55  8
13  56  26
14  57  22
15  58  16
16  59  8
17  60  7
18  61  3
19  63  4
20  64  2
21  65  6
22  66  2
23  67  1
24  68  3
25  69  1
26  70  2
27  71  1
28  73  2
29  74  1
30  75  3
31  79  1
32  80  1
33  82  1
34  83  1
35  84  1
36  88  2
37  89  2
38  90  3
39  91  3
40  92  3
41  93  9
42  94  4
43  95  15
44  96  8
45  97  6
46  98  4
47  99  2
48  100  4
49  101  1
50  102  1
51  104  2
52  105  1
53  106  1
54  107  2
55  109  2
56  110  5
57  31  1
58  37  1
59  38  2
60  39  2
61  40  8
62  41  8
63  42  14
64  43  9
65  44  17
66  45  10
67  46  14
68  47  3
69  48  4
70  49  4
71  50  13
72  51  8
73  52  8
74  53  5
75  54  14
76  55  11
77  56  11
78  57  8
79  58  3
80  59  9
81  60  4
82  61  4
83  62  6
84  63  4
85  64  1
86  65  2
87  66  4
88  67  7
89  68  3
90  69  5
91  70  5
92  71  5
93  72  3
94  73  3
95  74  3
96  75  2
97  76  3
98  77  2
99  78  3
100  79  1
101  80  3
102  83  1
103  84  1
104  91  1
105  103  1
106  120  1
107  140  1
108  37  1
109  38  2
110  47  1
111  48  4
112  50  5
113  51  2
114  52  4
115  53  5
116  54  1
117  55  1
118  56  3
119  57  2
120  58  1
121  59  1
122  60  2
123  62  2
124  63  2
125  64  3
126  65  4
127  66  1
128  68  2
129  70  3
130  72  1
131  73  1
132  74  1
133  75  1
134  78  1
135  79  1
136  80  1
137  83  1
138  89  1
139  100  1
140  26  1
141  28  1
142  31  1
143  32  1
144  33  3
145  35  5
146  36  4
147  37  2
148  38  5
149  39  8
150  40  8
151  41  12
152  42  56
153  43  67
154  44  77
155  45  86
156  46  117
157  47  190
158  48  362
159  49  147
160  50  138
161  51  66
162  52  90
163  53  113
164  54  169
165  55  122
166  56  172
167  57  232
168  58  205
169  59  177
170  60  188
171  61  77
172  62  70
173  63  64
174  64  38
175  65  43
176  66  22
177  67  24
178  68  15
179  69  9
180  70  21
181  71  12
182  72  19
183  73  18
184  74  17
185  75  13
186  76  14
187  77  17
188  78  12
189  79  12
190  80  10
191  81  6
192  82  7
193  83  6
194  84  4
195  85  6
196  86  4
197  87  3
198  88  9
199  89  3
200  90  5
201  91  3
202  92  2
203  93  4
204  94  2
205  95  2
206  98  3
207  100  3
208  103  2
209  105  1
210  108  1
211  110  3
212  125  1
213  20  1
214  21  1
215  23  2
216  24  3
217  25  1
218  26  6
219  27  6
220  28  16
221  29  21
222  30  14
223  31  26
224  32  40
225  33  31
226  34  77
227  35  102
228  36  138
229  37  103
230  38  85
231  39  46
232  40  22
233  41  19
234  42  27
235  43  32
236  44  59
237  45  86
238  46  96
239  47  62
240  48  46
241  49  18
242  50  8
243  51  6
244  52  1
245  54  2
246  55  2
247  59  2
248  60  1
249  61  3
250  62  1
251  63  1
252  64  2
253  65  2
254  66  5
255  67  3
256  68  7
257  69  1
258  70  5
259  71  2
260  72  1
261  75  1
262  77  1
263  79  1
264  88  1
265  102  1
266  104  1
#total release dummy cohort  
267  76  5258

#recapture data
#ntime
141
#cohort 1
  1  4  2  3  0  1  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
#cohort 2
  3  7  6  3  0  0  0  1  1  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
#cohort 3
  1  8  10  1  0  1  0  2  1  3  2  1  0  0  0  0  1  1  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
#cohort 4
